      Step     Time          Energy         fmax
BFGS:    0 22:09:58        4.220018        3.5215
BFGS:    1 22:10:32        3.980968        2.4102
BFGS:    2 22:11:06        3.829048        1.7292
BFGS:    3 22:11:40        3.734612        1.2888
BFGS:    4 22:12:13        3.679610        0.8806
BFGS:    5 22:12:47        3.648378        0.5472
BFGS:    6 22:13:20        3.627057        0.5419
BFGS:    7 22:13:54        3.608114        0.5206
BFGS:    8 22:14:27        3.592436        0.4478
BFGS:    9 22:15:01        3.582974        0.3046
BFGS:   10 22:15:34        3.579769        0.2221
BFGS:   11 22:16:08        3.577417        0.2038
BFGS:   12 22:16:42        3.574914        0.1876
BFGS:   13 22:17:15        3.572245        0.1612
BFGS:   14 22:17:49        3.569457        0.1461
BFGS:   15 22:18:22        3.568962        0.1307
BFGS:   16 22:18:56        3.569350        0.1052
BFGS:   17 22:19:30        3.569211        0.0934
BFGS:   18 22:20:03        3.568706        0.0968
BFGS:   19 22:20:37        3.567797        0.0834
BFGS:   20 22:21:11        3.566895        0.0788
BFGS:   21 22:21:44        3.566627        0.0682
BFGS:   22 22:22:18        3.566572        0.0541
BFGS:   23 22:22:52        3.566440        0.0412
