      Step     Time          Energy         fmax
BFGS:    0 21:51:59        4.219212        3.5207
BFGS:    1 21:52:32        3.976915        2.4944
BFGS:    2 21:53:06        3.823336        1.6341
BFGS:    3 21:53:40        3.731376        1.1338
BFGS:    4 21:54:14        3.679684        0.8539
BFGS:    5 21:54:48        3.649455        0.5497
BFGS:    6 21:55:21        3.627713        0.6045
BFGS:    7 21:55:55        3.607217        0.5283
BFGS:    8 21:56:28        3.590673        0.4079
BFGS:    9 21:57:01        3.581505        0.2600
BFGS:   10 21:57:35        3.578879        0.2301
BFGS:   11 21:58:09        3.576662        0.2176
BFGS:   12 21:58:42        3.574185        0.1983
BFGS:   13 21:59:16        3.571052        0.1618
BFGS:   14 21:59:50        3.568821        0.1414
BFGS:   15 22:00:23        3.568860        0.1271
BFGS:   16 22:00:57        3.569092        0.1045
BFGS:   17 22:01:31        3.568903        0.1092
BFGS:   18 22:02:04        3.568272        0.1090
BFGS:   19 22:02:38        3.567028        0.0773
BFGS:   20 22:03:12        3.566303        0.0814
BFGS:   21 22:03:45        3.566228        0.0595
