      Step     Time          Energy         fmax
BFGS:    0 21:37:29        4.220733        3.5203
BFGS:    1 21:38:03        3.983473        2.4372
BFGS:    2 21:38:36        3.826479        1.6028
BFGS:    3 21:39:10        3.732808        1.1540
BFGS:    4 21:39:44        3.682924        0.8255
BFGS:    5 21:40:18        3.654156        0.5262
BFGS:    6 21:40:51        3.631476        0.6134
BFGS:    7 21:41:24        3.609400        0.5335
BFGS:    8 21:41:58        3.591978        0.4325
BFGS:    9 21:42:31        3.582749        0.2739
BFGS:   10 21:43:05        3.580227        0.2365
BFGS:   11 21:43:38        3.577934        0.2254
BFGS:   12 21:44:12        3.575208        0.2021
BFGS:   13 21:44:45        3.571758        0.1611
BFGS:   14 21:45:19        3.569134        0.1456
BFGS:   15 21:45:52        3.569249        0.1267
BFGS:   16 21:46:26        3.569555        0.1020
